time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2018-06-02 00:00:00+00:00,btc,524370,1.43730299,130378486453.764134974902936353,32543142.9397835,94.73228337,7637.44825306838,17070948.58565935,175813,1376283583.7307910539420152868,31.894207310046
2018-06-03 00:00:00+00:00,btc,542740,1.44919617,131498835221.0268141340022941545,34898238.8104258,106.81864625,7702.15793308007,17072986.08565935,167198,1231047573.0644387988838524224,31.7866069512065
2018-06-04 00:00:00+00:00,btc,694350,1.40952829,127836651623.761825225706215704,39180231.3025025,84.7807391,7486.65319959088,17075273.58563205,205524,1507850167.2139110558882408992,31.7336734261044
2018-06-05 00:00:00+00:00,btc,655014,1.43371987,129979115426.4930168887463851225,38570079.4652277,71.19478616,7611.14985271771,17077461.08560475,214242,1825683065.2859773494473989399,31.6359979581062
2018-06-06 00:00:00+00:00,btc,653426,1.44133056,130669884421.2853274720389687044,36103754.4868986,75.26794022,7650.77580713033,17079298.58557668,207161,1736062977.6677932380574543773,31.5603786902448
2018-06-07 00:00:00+00:00,btc,635530,1.44450247,130942715943.34392085951491816,35121339.3988197,76.85126133,7665.9478962595,17081086.08554928,207335,1703846022.57553505107268514,31.4800415409407
2018-06-08 00:00:00+00:00,btc,640966,1.43712165,130216094923.583161981770028175,35612546.9428592,67.76051999,7622.60233021625,17082892.33552198,197681,1921710384.384061539304925525,31.4155253461673
2018-06-09 00:00:00+00:00,btc,503993,1.42518183,129094774239.7811966713409640504,35121339.3988197,89.76381657,7556.17169783752,17084679.83552127,176022,1438160487.9880203784787035616,31.3302377406143
2018-06-10 00:00:00+00:00,btc,527886,1.27551954,115242359003.2373240670198682339,31191679.0465042,70.33397232,6744.73580099357,17086267.33552127,178072,1638502066.7282176456662088097,31.2786946116125
2018-06-11 00:00:00+00:00,btc,586393,1.29750932,117043566259.5198063699280146464,34384528.0827606,62.79596826,6849.45268731736,17088017.33549324,213701,1863870715.1028407924570569088,31.2367232481618
2018-06-12 00:00:00+00:00,btc,662032,1.23858038,111540186918.5897833596757968386,35612546.9428592,60.86406886,6526.69968001169,17089829.83546594,216723,1832611407.8157362025828069396,31.1583829543659
2018-06-13 00:00:00+00:00,btc,660241,1.20092906,107788509788.8752252563010759576,35121339.3988197,55.35939554,6306.51316803039,17091617.33543784,212718,1947068040.1951074880935901809,31.0676017680116
2018-06-14 00:00:00+00:00,btc,586144,1.2632478,113326173419.8592241304904925964,37577377.119017,58.89890461,6629.77012419638,17093529.83540978,212115,1924079474.181123470729562086,30.9775687261324
2018-06-15 00:00:00+00:00,btc,613937,1.22097074,109405258626.7355632866323049792,37577377.119017,75.04613213,6399.67404646406,17095442.33540832,201252,1457840071.4815590641483973094,30.8795354145929
2018-06-16 00:00:00+00:00,btc,434955,1.23955794,111053766097.5783439116159116544,40770226.1552733,131.83076023,6495.31530917592,17097517.33540832,155858,842396462.7573083335813811136,30.7502066419293
2018-06-17 00:00:00+00:00,btc,439145,1.23172728,110303511512.6704324065835551996,38559792.2070958,120.02765783,6450.69397282291,17099479.83540756,145540,918984120.056636563477088318,30.6763569289072
2018-06-18 00:00:00+00:00,btc,569167,1.28056779,114645451013.7852783112172011412,40279018.6112339,76.37397993,6703.81258971362,17101529.83538026,194397,1501106150.4375068335929399022,30.6118432769817
2018-06-19 00:00:00+00:00,btc,628857,1.28664559,115149244502.8952177318316451584,38748592.0678864,77.15826161,6732.50880917592,17103467.33537952,192770,1492377382.5436577366444667024,30.5102206440782
2018-06-20 00:00:00+00:00,btc,590701,1.29123078,115516336692.9138773129774252805,39122596.1405431,85.72350552,6753.20682583285,17105404.83537873,199288,1347545646.8411821975245497185,30.4006131948348
2018-06-21 00:00:00+00:00,btc,556428,1.28466547,114968985603.3863787024089467185,42908653.8315634,82.58212563,6720.37323436587,17107529.83412755,200306,1392177601.7521008973387232784,30.2889958016633
2018-06-22 00:00:00+00:00,btc,616964,1.16113556,103675812241.779963908777256675,38112980.756271,60.1567451,6059.5758591467,17109417.33410025,202454,1723427889.379829829340593339,30.2087940972617
2018-06-23 00:00:00+00:00,btc,473376,1.18384639,105649754025.7397389189875811975,40384615.3708832,121.5280629,6174.22577936879,17111417.33410025,159934,869344507.8279410241891941986,30.1194659316133
2018-06-24 00:00:00+00:00,btc,465159,1.17963703,105188245647.2729078638767558278,43161057.6776314,95.49255597,6146.48719491526,17113554.83409953,160718,1101533460.6537568913863350694,30.0601449864971
2018-06-25 00:00:00+00:00,btc,618481,1.19907224,106861339065.9900398047132230107,39627403.8326791,72.98799104,6243.53544097019,17115517.33409953,202227,1464094812.7292039277259351014,29.9969935173984
